,symbol,link_part,masterFund,subFund,link,volatility
0,PCS05,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-skarbowych,Parasolowy FIO,PKO Obligacji Skarbowych,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS05/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-skarbowych#moreInfo,135111.93724340262
0,PCS92A3,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-ii-a3,Parasolowy FIO,PKO Obligacji Samorządowych II A3,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS92A3/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-ii-a3#moreInfo,3.7900683310159504
0,PCS92A2,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-ii-a2,Parasolowy FIO,PKO Obligacji Samorządowych II A2,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS92A2/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-ii-a2#moreInfo,3.7900683310159504
0,PCS92A1,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-ii-a1,Parasolowy FIO,PKO Obligacji Samorządowych II A1,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS92A1/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-ii-a1#moreInfo,3.723514900855956
0,PCS92,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-ii,Parasolowy FIO,PKO Obligacji Samorządowych II,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS92/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-ii#moreInfo,3.7900683310159504
0,PCS86A3,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-a3,Parasolowy FIO,PKO Obligacji Samorządowych A3,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS86A3/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-a3#moreInfo,1.147670397648341
0,PCS86A2,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-a2,Parasolowy FIO,PKO Obligacji Samorządowych A2,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS86A2/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-a2#moreInfo,1.147670397648341
0,PCS86A1,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-a1,Parasolowy FIO,PKO Obligacji Samorządowych A1,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS86A1/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych-a1#moreInfo,1.2879662213254512
0,PCS86,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych,Parasolowy FIO,PKO Obligacji Samorządowych,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS86/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-samorzadowych#moreInfo,1.147670397648341
0,PCS84A3,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-globalny-a3,Parasolowy FIO,PKO Obligacji Globalny A3,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS84A3/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-globalny-a3#moreInfo,40.51000044715935
0,PCS84A2,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-globalny-a2,Parasolowy FIO,PKO Obligacji Globalny A2,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS84A2/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-globalny-a2#moreInfo,40.51000044715935
0,PCS84A1,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-globalny-a1,Parasolowy FIO,PKO Obligacji Globalny A1,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS84A1/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-globalny-a1#moreInfo,40.05036995040628
0,PCS84,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-globalny,Parasolowy FIO,PKO Obligacji Globalny,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS84/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-globalny#moreInfo,40.51000044715935
0,PCS91A3,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-dlugoterminowych-a3,Parasolowy FIO,PKO Obligacji Długoterminowych A3,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS91A3/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-dlugoterminowych-a3#moreInfo,268.2371651868075
